Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
123226964,The Two-Parent Privilege: How Americans Stopped Getting Married and Started Falling Behind,Melissa S. Kearney,"Kearney, Melissa S.",,"=""0226817784""","=""9780226818115""",0,3.85,University of Chicago Press,Kindle Edition,237,2023,2023,,2023/09/28,currently-reading,currently-reading (#16),currently-reading,,,,1,0
59088361,Do Hard Things: Why We Get Resilience Wrong and the Surprising Science of Real Toughness,Steve Magness,"Magness, Steve",,"=""006309861X""","=""9780063098619""",0,3.81,HarperOne,Hardcover,320,2022,2022,,2024/05/03,,,read,,,,1,0
17473005,"Expressivism, Pragmatism and Representationalism",Huw Price,"Price, Huw","Simon Blackburn, Robert B. Brandom, Paul Horwich, Michael Williams","=""1107009847""","=""9781107009844""",0,3.85,Cambridge University Press,Hardcover,218,2013,2013,,2024/10/18,to-read,to-read (#311),to-read,,,,0,0
175546,Time's Arrow and Archimedes' Point: New Directions for the Physics of Time,Huw Price,"Price, Huw",,"=""0195117980""","=""9780195117981""",0,3.78,Oxford University Press,Paperback,321,1997,1996,,2024/10/18,to-read,to-read (#310),to-read,,,,0,0
171681821,The Anxious Generation: How the Great Rewiring of Childhood Caused an Epidemic of Mental Illness,Jonathan Haidt,"Haidt, Jonathan",,"=""0593655036""","=""9780593655030""",0,4.31,Penguin Press,Hardcover,400,2024,2024,,2024/10/16,to-read,to-read (#309),to-read,,,,0,0
145660,The Captive Mind,Czesław Miłosz,"Miłosz, Czesław",Jane Zielonko,"=""0679728562""","=""9780679728566""",0,4.27,Vintage,Paperback,272,1990,1953,2024/10/16,2024/03/17,,,read,,,,1,0
181564537,"Build, Baby, Build: The Science and Ethics of Housing Regulation",Bryan Caplan,"Caplan, Bryan",Ady Branzei,"=""1952223415""","=""9781952223419""",0,4.22,Cato Institute,Paperback,253,2024,2024,,2024/10/07,to-read,to-read (#308),to-read,,,,0,0
20527133,"Superintelligence: Paths, Dangers, Strategies",Nick Bostrom,"Bostrom, Nick",,"=""0199678111""","=""9780199678112""",0,3.85,Oxford University Press,Hardcover,352,2014,2014,,2024/07/03,"currently-reading, philosophy","currently-reading (#15), philosophy (#139)",currently-reading,,,,1,0
36319077,The Case Against Education: Why the Education System Is a Waste of Time and Money,Bryan Caplan,"Caplan, Bryan",,"=""0691174652""","=""9780691174655""",5,3.94,Princeton University Press,Hardcover,416,2018,2018,2024/09/26,2024/03/20,economics,economics (#144),read,,,,1,0
43997538,The Renaissance Diet 2.0 (Renaissance Periodization Book 2),Mike Israetel,"Israetel, Mike","Melissa  Davis, Jen Case​​, James  Hoffmann, Rich Froning","=""""","=""""",0,4.59,Renaissance Periodization,Kindle Edition,265,2019,,,2024/09/26,to-read,to-read (#307),to-read,,,,0,0
1630250,"Lucian, VI: How to Write History. The Dipsads. Saturnalia. Herodotus or Aetion. Zeuxis or Antiochus. A Slip of the Tongue in Greeting. Apology for the ""Salaried Posts in...(Loeb Classical Library No. 430)",Lucian of Samosata,"Samosata, Lucian of",K. Kilburn,"=""0674994744""","=""9780674994744""",0,4.22,Harvard University Press,Hardcover,512,1959,1959,,2024/09/24,to-read,to-read (#306),to-read,,,,0,0
22451908,The Revolt of the Public and the Crisis of Authority,Martin Gurri,"Gurri, Martin",,"=""""","=""""",0,4.19,,Kindle Edition,362,2014,2014,,2024/09/23,to-read,to-read (#305),to-read,,,,0,0
57123420,Scientific Principles of Hypertrophy Training (Renaissance Periodization Book 1),Mike Israetel,"Israetel, Mike","James  Hoffmann, Melissa  Davis, Jared Feather","=""""","=""""",0,4.59,,Kindle Edition,274,2021,,,2024/09/04,to-read,to-read (#304),to-read,,,,0,0
1866159,Die Welt als Wille und Vorstellung,Arthur Schopenhauer,"Schopenhauer, Arthur",,"=""3423306718""","=""9783423306713""",0,4.22,,Paperback,1440,1658,1818,,2020/10/31,"to-read, philosophy","to-read (#18), philosophy (#24)",to-read,,,,0,0
56019043,Beyond Order: 12 More Rules For Life,Jordan B. Peterson,"Peterson, Jordan B.",,"=""0593084640""","=""9780593084649""",5,4.14,Portfolio,Hardcover,382,2021,2021,2021/03/06,2020/11/26,philosophy,philosophy (#51),read,,,,1,0
647942,The Limits to Growth,Donella H. Meadows,"Meadows, Donella H.","Dennis L. Meadows, Jørgen Randers, William W. Behrens III","=""0451057678""","=""9780451057679""",0,4.18,Signet,Paperback,207,1972,,,2024/05/10,to-read,to-read (#293),to-read,,,,0,0
13588394,The Signal and the Noise: Why So Many Predictions Fail—But Some Don't,Nate Silver,"Silver, Nate",,"=""159420411X""","=""9781594204111""",0,3.97,Penguin,Hardcover,544,2012,2012,,2024/07/19,to-read,to-read (#303),to-read,,,,0,0
20652901,Dear Reader: The Unauthorized Autobiography of Kim Jong Il,Michael Malice,"Malice, Michael",,"=""1495283259""","=""9781495283253""",0,4.20,CreateSpace Independent Publishing Platform,Paperback,420,2014,2014,2024/07/10,2024/07/10,,,read,,,,1,0
43885149,Dominion: How the Christian Revolution Remade the World,Tom Holland,"Holland, Tom",,"=""0465093507""","=""9780465093502""",0,4.26,Basic Books,Hardcover,624,2019,2019,,2024/07/09,to-read,to-read (#302),to-read,,,,0,0
208707460,Deep Utopia: Life and Meaning in a Solved World,Nick Bostrom,"Bostrom, Nick",,"=""1646871642""","=""9781646871643""",0,3.63,Ideapress Publishing,Hardcover,536,2024,,,2024/07/03,to-read,to-read (#301),to-read,,,,0,0
35008533,"Genius Foods: Become Smarter, Happier, and More Productive While Protecting Your Brain for Life",Max Lugavere,"Lugavere, Max",Paul Grewal,"=""0062562894""","=""9780062562890""",0,4.19,Harper Wave,ebook,400,2018,2018,2024/06/26,2021/08/04,,,read,,,,1,0
6324090,"Alice's Adventures in Wonderland (Alice's Adventures in Wonderland, #1)",Lewis Carroll,"Carroll, Lewis","T.H. Robinson, Charles Pears","=""""","=""""",0,3.99,Public Domain Books,Kindle Edition,96,1997,1865,2024/06/20,2024/06/20,,,read,,,,1,0
18774964,A Man Called Ove,Fredrik Backman,"Backman, Fredrik",Henning Koch,"=""1476738017""","=""9781476738017""",0,4.38,Atria Books,Hardcover,337,2014,2012,,2022/12/13,currently-reading,currently-reading (#14),currently-reading,,,,1,0
68005389,The White Pill: A Tale of Good and Evil,Michael Malice,"Malice, Michael",,"=""""","=""""",0,4.41,,Kindle Edition,371,2022,2022,2024/06/14,2024/01/31,philosophy,philosophy (#138),read,,,,1,0
7776209,The Rational Optimist: How Prosperity Evolves,Matt Ridley,"Ridley, Matt",,"=""006145205X""","=""9780061452055""",0,3.97,Harper,Hardcover,448,2010,2010,2024/06/11,2023/07/03,,,read,,,,1,0
18288,Critique of Pure Reason,Immanuel Kant,"Kant, Immanuel","Paul Guyer, Allen W. Wood","=""0521657296""","=""9780521657297""",0,3.96,Cambridge University Press,Paperback,785,1999,1781,,2020/10/26,"philosophy, currently-reading","philosophy (#34), currently-reading (#13)",currently-reading,,,,1,0
125116554,Same as Ever: A Guide to What Never Changes,Morgan Housel,"Housel, Morgan",,"=""""","=""9780593332702""",0,4.16,Portfolio,Hardcover,240,2023,2023,,2024/06/07,to-read,to-read (#300),to-read,,,,0,0
51845311,Unsere Welt neu denken: Eine Einladung,Maja Göpel,"Göpel, Maja",,"=""""","=""""",0,4.23,,ebook,208,2020,2020,2021/04/19,2021/04/19,,,read,,,,1,0
200250139,The Crisis of Culture: Identity Politics and the Empire of Norms,Olivier Roy,"Roy, Olivier",,"=""1805261347""","=""9781805261346""",0,3.70,Hurst Publishers,Kindle Edition,217,2024,,,2024/06/03,to-read,to-read (#299),to-read,,,,0,0
10483171,The Beginning of Infinity: Explanations That Transform the World,David Deutsch,"Deutsch, David",,"=""0670022756""","=""9780670022755""",0,4.17,Viking,Hardcover,487,2011,2011,2024/06/02,2023/07/03,,,read,,,,1,0
200622289,GOAT: Who is the Greatest Economist of All Time?,Tyler Cowen,"Cowen, Tyler",,"=""""","=""""",0,3.84,Mercatus Center,ebook,349,2023,,2024/06/02,2024/04/25,economics,economics (#143),read,,,,1,0
64341,The Metamorphosis of Prime Intellect,Roger    Williams,"Williams, Roger",,"=""1411602196""","=""9781411602199""",0,4.03,Lulu.com,Paperback,175,2003,2006,,2024/05/25,to-read,to-read (#298),to-read,,,,0,0
80369,Discipline and Punish: The Birth of the Prison,Michel Foucault,"Foucault, Michel",Alan Sheridan,"=""0679752552""","=""9780679752554""",0,4.24,Vintage,Paperback,333,1995,1975,2024/05/16,2021/04/10,philosophy,philosophy (#73),read,,,,1,0
827,"The Diamond Age: Or, a Young Lady's Illustrated Primer",Neal Stephenson,"Stephenson, Neal",,"=""0553380966""","=""9780553380965""",0,4.16,Spectra,Paperback,499,2000,1995,,2024/05/16,to-read,to-read (#297),to-read,,,,0,0
531,A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,"Hanson, Victor Davis",,"=""0812969707""","=""9780812969702""",0,4.12,Random House,Paperback,416,2006,2005,,2024/05/16,to-read,to-read (#296),to-read,,,,0,0
198493858,The End of Everything: How Wars Descend into Annihilation,Victor Davis Hanson,"Hanson, Victor Davis",,"=""1541673522""","=""9781541673526""",0,4.19,Basic Books,Hardcover,352,2024,2024,,2024/05/16,to-read,to-read (#295),to-read,,,,0,0
201954774,Misunderstandings: False Beliefs in Communication,Georg Weizsäcker,"Weizsäcker, Georg",,"=""1783740515""","=""9781783740512""",0,0.0,Open Book Publishers,Hardcover,136,2023,,,2024/05/10,"currently-reading, economics","currently-reading (#12), economics (#142)",currently-reading,,,,1,0
11566421,The Limits to Growth Revisited (Energy Analysis),Ugo  Bardi,"Bardi, Ugo",,"=""1441994157""","=""9781441994158""",0,4.18,Springer,Paperback,132,2011,2011,,2024/05/10,to-read,to-read (#294),to-read,,,,0,0
162174,What is Literature?,Jean-Paul Sartre,"Sartre, Jean-Paul",Bernard Frechtman,"=""0415254043""","=""9780415254045""",0,3.66,Routledge,Paperback,280,2001,1948,,2024/05/10,to-read,to-read (#292),to-read,,,,0,0
60021469,How to Speak Whale: The Power and Wonder of Listening to Animals,Tom Mustill,"Mustill, Tom",,"=""1538739119""","=""9781538739112""",0,4.28,Grand Central Publishing,Hardcover,304,2022,2022,2024/05/07,2024/02/04,,,read,,,,1,0
44245196,The Great Mental Models: General Thinking Concepts,Shane Parrish,"Parrish, Shane",Rhiannon Beaubien,"=""""","=""""",0,4.07,Latticework Publishing Inc.,Audiobook,216,2019,2018,,2024/05/07,to-read,to-read (#291),to-read,,,,0,0
13707751,Keynes Hayek: The Clash that Defined Modern Economics,Nicholas Wapshott,"Wapshott, Nicholas",,"=""0393343634""","=""9780393343632""",0,3.92,W. W. Norton & Company,Paperback,400,2012,2011,2024/05/03,2021/04/17,economics,economics (#36),read,,,,1,0
31450959,"Peak Performance: Elevate Your Game, Avoid Burnout, and Thrive with the New Science of Success",Brad Stulberg,"Stulberg, Brad",Steve Magness,"=""162336793X""","=""9781623367930""",0,4.17,Rodale Books,Hardcover,240,2017,2017,,2024/05/03,to-read,to-read (#290),to-read,,,,0,0
42373033,The Price We Pay: What Broke American Health Care—and How to Fix It,Marty Makary,"Makary, Marty",,"=""1635574110""","=""9781635574111""",0,4.45,Bloomsbury Publishing,Hardcover,288,2019,2019,2024/05/02,2024/05/02,economics,economics (#141),read,,,,1,0
49198,First in His Class: A Biography of Bill Clinton,David Maraniss,"Maraniss, David",,"=""0684818906""","=""9780684818900""",0,4.06,Simon & Schuster,Paperback,528,1996,1995,,2024/05/02,to-read,to-read (#289),to-read,,,,0,0
62315566,Power and Progress: Our Thousand-Year Struggle Over Technology and Prosperity,Daron Acemoğlu,"Acemoğlu, Daron",Simon Johnson,"=""1668626403""","=""9781668626405""",0,3.94,PublicAffairs,Audiobook,,2023,2023,,2023/10/25,"currently-reading, economics","currently-reading (#11), economics (#140)",currently-reading,,,,1,0
59252501,The Straussian Moment,Peter Thiel,"Thiel, Peter",,"=""""","=""""",0,4.17,,Hardcover,26,2007,,,2024/05/02,to-read,to-read (#288),to-read,,,,0,0
8130077,The Screwtape Letters,C.S. Lewis,"Lewis, C.S.",,"=""""","=""""",0,4.27,HarperCollins e-books,Kindle Edition,222,2009,1942,2024/05/01,2024/03/12,,,read,,,,1,0
23164920,Reagan: The Life,H.W. Brands,"Brands, H.W.",,"=""0385536399""","=""9780385536394""",0,4.14,Doubleday,Hardcover,816,2015,2015,2024/05/01,2023/06/29,,,read,,,,1,0
209078349,"The War on Prices: How Popular Misconceptions about Inflation, Prices, and Value Create Bad Policy",Ryan  A. Bourne,"Bourne, Ryan A.",,"=""1952223873""","=""9781952223877""",0,4.04,Cato Institute,Kindle Edition,433,2024,2024,,2024/05/01,to-read,to-read (#287),to-read,,,,0,0
29939212,The Complacent Class: The Self-Defeating Quest for the American Dream,Tyler Cowen,"Cowen, Tyler",,"=""1250108691""","=""9781250108692""",0,3.63,St. Martin's Press,Hardcover,241,2017,2017,,2023/01/30,"economics, to-read","economics (#130), to-read (#286)",to-read,,,,1,0
13543034,Unintended Consequences: Why Everything You've Been Told About the Economy Is Wrong,Edward Conard,"Conard, Edward",,"=""1591845505""","=""9781591845508""",0,3.39,Portfolio,Hardcover,320,2012,2012,2024/04/23,2021/10/28,economics,economics (#111),read,,,,1,0
33864676,Red Famine: Stalin's War on Ukraine,Anne Applebaum,"Applebaum, Anne",,"=""0771009305""","=""9780771009303""",0,4.39,Signal,Hardcover,496,2017,2017,2024/04/21,2024/04/10,,,read,,,,1,0
22027719,Narendra Modi: A political Biography,Andy   Marino,"Marino, Andy",,"=""""","=""9789351362180""",0,3.81,HarperCollins,Kindle Edition,379,2014,2014,,2024/04/19,to-read,to-read (#285),to-read,,,,0,0
49358915,Exercised: Why Something We Never Evolved to Do Is Healthy and Rewarding,Daniel E. Lieberman,"Lieberman, Daniel E.",,"=""1524746983""","=""9781524746988""",0,4.17,Pantheon,Hardcover,464,2021,2021,2024/04/18,2023/12/04,,,read,,,,1,0
102146148,What's Our Problem?: A Self-Help Book for Societies,Tim Urban,"Urban, Tim",,"=""""","=""9798987722602""",0,4.24,Wait But Why,Kindle Edition,746,2023,2023,,2024/04/11,to-read,to-read (#284),to-read,,,,0,0
18693771,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk,"Kolk, Bessel van der",,"=""0670785938""","=""9780670785933""",0,4.35,Viking,Hardcover,464,2014,2014,2024/04/10,2024/03/13,,,read,,,,1,0
60321447,Chip War: The Fight for the World's Most Critical Technology,Chris   Miller,"Miller, Chris",,"=""1982172002""","=""9781982172008""",0,4.40,Scribner,Hardcover,431,2022,2022,2024/04/06,2024/03/19,,,read,,,,1,0
17690,The Trial,Franz Kafka,"Kafka, Franz","Max Brod, Willa Muir, Edwin Muir","=""""","=""""",0,3.94,Vintage,Paperback,255,2001,1925,,2024/03/03,currently-reading,currently-reading (#10),currently-reading,,,,1,0
629429,The World of Yesterday,Stefan Zweig,"Zweig, Stefan",Harry Zohn,"=""0803252242""","=""9780803252240""",0,4.51,University of Nebraska Press,Paperback,455,1964,1942,,2024/04/01,to-read,to-read (#283),to-read,,,,0,0
57933306,Stolen Focus: Why You Can't Pay Attention— and How to Think Deeply Again,Johann Hari,"Hari, Johann",,"=""0593138511""","=""9780593138519""",2,4.22,Crown,Hardcover,357,2022,2022,2024/03/21,2024/03/11,,,read,,,,1,0
42585168,Priced Out: The Economic and Ethical Costs of American Health Care,Uwe E. Reinhardt,"Reinhardt, Uwe E.","Paul Krugman, Sen. William H. Frist, Tsung-Mei Cheng","=""0691192170""","=""9780691192178""",0,4.30,Princeton University Press,Hardcover,232,2019,2019,2024/03/20,2021/07/13,economics,economics (#94),read,,,,1,0
60211768,Labor Econ Versus the World: Essays on the World's Greatest Market,Bryan Caplan,"Caplan, Bryan",Jack Pfefferkorn,"=""""","=""9798785872868""",0,3.79,Independently Published,Paperback,258,2022,,,2024/03/20,to-read,to-read (#282),to-read,,,,0,0
10266902,Selfish Reasons to Have More Kids: Why Being a Great Parent Is Less Work and More Fun Than You Think,Bryan Caplan,"Caplan, Bryan",,"=""046501867X""","=""9780465018673""",0,3.55,Basic Books,Hardcover,240,2011,2011,,2024/03/20,to-read,to-read (#281),to-read,,,,0,0
42867903,Open Borders: The Science and Ethics of Immigration,Bryan Caplan,"Caplan, Bryan",Zach Weinersmith,"=""1250316960""","=""9781250316967""",0,4.10,First Second,Paperback,248,2019,2019,,2024/03/20,to-read,to-read (#280),to-read,,,,0,0
24861,Demian: Die Geschichte von Emil Sinclairs Jugend,Hermann Hesse,"Hesse, Hermann",Thomas Mann,"=""""","=""9783518367063""",0,4.14,Suhrkamp Verlag,Paperback,193,1974,1919,,2024/03/19,to-read,to-read (#279),to-read,,,,0,0
16631,Steppenwolf,Hermann Hesse,"Hesse, Hermann",Basil Creighton,"=""0140282580""","=""9780140282580""",0,4.13,Penguin,Paperback,256,1999,1927,,2024/03/19,to-read,to-read (#278),to-read,,,,0,0
58417761,Life Time,Russell Foster,"Foster, Russell",,"=""0241529301""","=""9780241529300""",0,3.97,Penguin Life,Hardcover,480,2022,2022,2024/03/18,2024/02/18,,,read,,,,1,0
174005,Saving Capitalism from the Capitalists : How Open Financial Markets Challenge the Establishment and Spread Prosperity to Rich and Poor Alike,Raghuram G. Rajan,"Rajan, Raghuram G.",Luigi Zingales,"=""0712621318""","=""9780712621311""",0,4.16,Cornerstone,Hardcover,384,2003,2003,,2024/03/18,to-read,to-read (#277),to-read,,,,0,0
36459725,"Evolution of Desire: A Life of René Girard (Studies in Violence, Mimesis & Culture)",Cynthia L. Haven,"Haven, Cynthia L.",,"=""1611862833""","=""9781611862836""",0,4.35,Michigan State University Press,Paperback,344,2018,2018,,2024/03/17,to-read,to-read (#276),to-read,,,,0,0
90844,Reinventing the Bazaar: A Natural History of Markets,John McMillan,"McMillan, John",,"=""0393323714""","=""9780393323719""",0,3.92,W. W. Norton & Company,Paperback,278,2003,2002,,2024/03/13,to-read,to-read (#275),to-read,,,,0,0
82120,The Worldly Philosophers,Robert L. Heilbroner,"Heilbroner, Robert L.",,"=""068486214X""","=""9780684862149""",0,4.16,Touchstone/Simon & Schuster (NY),Paperback,368,1999,1953,,2024/03/13,to-read,to-read (#274),to-read,,,,0,0
27146,Peddling Prosperity: Economic Sense and Nonsense in an Age of Diminished Expectations (Norton Paperback),Paul Krugman,"Krugman, Paul",,"=""0393312925""","=""9780393312928""",0,3.90,W. W. Norton & Company,Paperback,303,1995,1992,,2024/03/13,to-read,to-read (#273),to-read,,,,0,0
584851,The Challenge of Affluence: Self-Control and Well-Being in the United States and Britain since 1950,Avner Offer,"Offer, Avner",,"=""0198208537""","=""9780198208532""",0,4.10,Oxford University Press,Hardcover,480,2006,2006,,2024/03/11,to-read,to-read (#272),to-read,,,,0,0
60871498,"Climate Change 2022 – Impacts, Adaptation, and Vulerability: Working Group II Contribution to the Sixth Assessment Report of the Intergovernmental Panel on Climate Change",Intergovernmental Panel on Climate Change,"Change, Intergovernmental Panel on Climate",,"=""""","=""""",0,5.00,,Unknown Binding,3676,,,2024/03/04,2023/01/30,economics,economics (#132),read,,,,1,0
49207255,Why We Get Sick: The Hidden Epidemic at the Root of Most Chronic Disease―and How to Fight It,Benjamin Bikman,"Bikman, Benjamin",Jason Fung,"=""1950665178""","=""9781950665174""",0,4.11,BenBella Books,Kindle Edition,280,2020,2020,2024/03/04,2024/02/07,,,read,,,,1,0
15698,Caligula,Albert Camus,"Camus, Albert",Pierre-Louis Rey,"=""""","=""""",0,4.09,Gallimard ,Mass Market Paperback,224,1993,1944,,2024/03/03,to-read,to-read (#271),to-read,,,,0,0
333538,The Castle,Franz Kafka,"Kafka, Franz",Mark Harman,"=""0805211063""","=""9780805211061""",0,3.91,Schocken,Paperback,328,1998,1926,,2024/03/03,to-read,to-read (#270),to-read,,,,0,0
15688,L'Étranger,Albert Camus,"Camus, Albert",,"=""2070360024""","=""9782070360024""",5,4.03,Gallimard,Paperback,184,2016,1942,2024/02/22,2020/12/01,philosophy,philosophy (#66),read,,,,1,0
17061941,"The Great Rebalancing: Trade, Conflict, and the Perilous Road Ahead for the World Economy",Michael Pettis,"Pettis, Michael",,"=""0691158681""","=""9780691158686""",0,4.26,Princeton University Press,Hardcover,232,2013,2012,,2024/02/18,to-read,to-read (#269),to-read,,,,0,0
40242274,A Random Walk Down Wall Street: The Time-Tested Strategy for Successful Investing,Burton G. Malkiel,"Malkiel, Burton G.",,"=""1324002182""","=""9781324002185""",0,4.14,W. W. Norton & Company,Hardcover,432,2019,1973,,2024/02/17,to-read,to-read (#268),to-read,,,,0,0
7663760,"Fooling Some of the People All of the Time, A Long Short (and Now Complete) Story, Updated with New Epilogue",David Einhorn,"Einhorn, David",Joel Greenblatt,"=""0470481544""","=""9780470481547""",0,4.01,Wiley,Paperback,448,2010,2007,,2024/02/17,to-read,to-read (#267),to-read,,,,0,0
36613747,How to Change Your Mind: The New Science of Psychedelics,Michael Pollan,"Pollan, Michael",,"=""0241294223""","=""9780241294222""",0,4.27,ALLEN LANE,Hardcover,480,2018,2018,2024/02/12,2023/02/20,,,read,,,,1,0
8554355,"Politics, Murder, and Love in Stalin's Kremlin: The Story of Nikolai Bukharin and Anna Larina (Hoover Institution Press Publication)",Paul R. Gregory,"Gregory, Paul R.",,"=""0817910352""","=""9780817910358""",0,3.64,Hoover Institution Press,Paperback,196,2010,2010,,2024/02/06,to-read,to-read (#266),to-read,,,,0,0
60965426,The Creative Act: A Way of Being,Rick Rubin,"Rubin, Rick",,"=""0593652886""","=""9780593652886""",0,3.95,Penguin Press,Hardcover,406,2023,2023,,2023/10/25,,,read,,,,1,0
6304389,The Spirit Level: Why More Equal Societies Almost Always Do Better,Richard G. Wilkinson,"Wilkinson, Richard G.",Kate E. Pickett,"=""1846140390""","=""9781846140396""",2,4.13,Allen Lane,Hardcover,352,2009,2009,2024/02/02,2021/05/21,economics,economics (#107),read,,,,1,0
698866,The Myth of the Rational Voter: Why Democracies Choose Bad Policies,Bryan Caplan,"Caplan, Bryan",,"=""0691129428""","=""9780691129426""",0,3.90,Princeton University Press,Hardcover,288,2007,2007,2024/02/01,2023/07/23,economics,economics (#139),read,,,,1,0
199214175,Don’t Die,Bryan Zero Johnson,"Johnson, Bryan Zero",,"=""""","=""""",0,3.30,Blueprint,ebook,247,2023,,,2023/09/28,to-read,to-read (#259),to-read,,,,0,0
30733,Essays,Michel de Montaigne,"Montaigne, Michel de",John Michael Cohen,"=""014017897X""","=""9780140178975""",0,4.23,Penguin,Paperback,406,1958,1580,,2022/03/09,to-read,to-read (#157),to-read,,,,0,0
16176,The Red Queen: Sex and the Evolution of Human Nature,Matt Ridley,"Ridley, Matt",,"=""0060556579""","=""9780060556570""",0,4.05,Harper Perennial (HarperCollins),Paperback,405,2003,1993,2023/12/11,2023/07/03,,,read,,,,1,0
122765395,Elon Musk,Walter Isaacson,"Isaacson, Walter",,"=""1982181281""","=""9781982181284""",0,4.32,Simon & Schuster,Hardcover,688,2023,2023,,2023/12/04,to-read,to-read (#265),to-read,,,,0,0
45697084,Shadowplay: Behind the Lines and Under Fire: The Inside Story of Europe's Last War,Tim  Marshall,"Marshall, Tim",,"=""1783964456""","=""9781783964451""",0,3.87,Elliott & Thompson Ltd,Paperback,320,2019,2003,2022/01/01,2023/12/04,,,read,,,,1,0
43982429,"This Is Your Brain on Birth Control: The Surprising Science of Women, Hormones, and the Law of Unintended Consequences",Sarah E. Hill,"Hill, Sarah E.",,"=""0525536035""","=""9780525536031""",0,4.03,Avery,Hardcover,310,2019,2019,2023/12/03,2023/07/01,,,read,,,,1,0
57926125,The Voltage Effect: How to Make Good Ideas Great and Great Ideas Scale,John A. List,"List, John A.",,"=""0593239482""","=""9780593239483""",0,3.93,Crown Currency,Hardcover,288,2022,2022,2023/12/03,2023/01/19,economics,economics (#138),read,,,,1,0
50489290,Samuelson Friedman: The Battle Over the Free Market,Nicholas Wapshott,"Wapshott, Nicholas",,"=""0393285189""","=""9780393285185""",0,3.88,W. W. Norton & Company,Hardcover,384,2021,2021,,2023/12/03,"currently-reading, economics","currently-reading (#9), economics (#137)",currently-reading,,,,1,0
55539565,Think Again: The Power of Knowing What You Don't Know,Adam M. Grant,"Grant, Adam M.",,"=""1984878107""","=""9781984878106""",0,4.13,Viking Books,Hardcover,307,2021,2021,,2023/11/29,to-read,to-read (#264),to-read,,,,0,0
4292159,Neuroeconomics: Decision Making and the Brain,Paul W. Glimcher,"Glimcher, Paul W.","Colin F. Camerer, Ernst Fehr, Russell Alan Poldrack, Aldo Rustichini","=""0123741769""","=""9780123741769""",0,4.32,Academic Press,Hardcover,556,2008,2008,,2021/05/19,"economics, currently-reading","economics (#79), currently-reading (#8)",currently-reading,,,,1,0
58782897,The End of the World Is Just the Beginning: Mapping the Collapse of Globalization,Peter Zeihan,"Zeihan, Peter",,"=""006323047X""","=""9780063230477""",0,4.16,Harper Business,Hardcover,512,2022,2022,2023/11/01,2023/09/28,,,read,,,,1,0
6766763,Introduction to Modern Economic Growth,Daron Acemoğlu,"Acemoğlu, Daron",,"=""0691132925""","=""9780691132921""",0,4.16,Princeton University Press,Hardcover,1008,2009,2008,2023/11/28,2023/10/25,,,read,,,,1,0
20821092,Napoleon: A Life,Andrew Roberts,"Roberts, Andrew",,"=""0670025321""","=""9780670025329""",0,4.25,Viking Pr,Paperback,976,2014,2014,,2023/11/18,to-read,to-read (#263),to-read,,,,0,0
60030748,Climate Future: Averting and Adapting to Climate Change,Robert S. Pindyck,"Pindyck, Robert S.",,"=""""","=""""",0,4.00,,Unknown Binding,,,2022,,2023/11/13,to-read,to-read (#262),to-read,,,,0,0
24965,Fear and Trembling,Søren Kierkegaard,"Kierkegaard, Søren",Alastair Hannay,"=""0143037579""","=""9780143037576""",0,4.00,Penguin Books,Paperback,152,2006,1843,2023/10/25,2023/01/30,philosophy,philosophy (#133),read,,,,1,0
24861602,"Schopenhauer - Die Kunst, Recht zu behalten: Eristische Dialektik",Arthur Schopenhauer,"Schopenhauer, Arthur",,"=""3954185008""","=""9783954185009""",0,3.50,Null Papier Verlag,Kindle Edition,95,2025,1831,,2023/06/01,"philosophy, to-read","philosophy (#136), to-read (#261)",to-read,,,,0,0
1354,Gorgias,Plato,"Plato, Plato","Chris Emlyn-Jones, Walter Hamilton","=""0140449043""","=""9780140449044""",0,3.94,Penguin Classics,Paperback,208,2004,-380,,2021/05/06,"philosophy, to-read","philosophy (#88), to-read (#260)",to-read,,,,0,0
6452731,Justice: What's the Right Thing to Do?,Michael J. Sandel,"Sandel, Michael J.",,"=""0374180652""","=""9780374180652""",5,4.30,"Farrar, Straus and Giroux",Hardcover,308,2009,2007,2022/02/28,2021/11/09,philosophy,philosophy (#123),read,,,,1,0
2547,The Prophet,Kahlil Gibran,"Gibran, Kahlil",,"=""000100039X""","=""9780001000391""",0,4.23,Rupa & Co,Paperback,127,2003,1923,2023/08/01,2023/07/03,,,read,,,,1,0
16046731,Talmud,Anonymous,"Anonymous, Anonymous",Eugen Werber,"=""8613004105""","=""""",0,4.00,BIGZ,Paperback,689,1990,1990,,2023/07/31,to-read,to-read (#258),to-read,,,,0,0
22303718,Liberty and Property,Ludwig von Mises,"Mises, Ludwig von",,"=""""","=""""",0,4.38,Ludwig von Mises Institute,Paperback,53,,2009,,2023/07/29,to-read,to-read (#257),to-read,,,,0,0
